developer,release_year,total_items,free_items,percentage_free
"2K Australia,Gearbox Software,Aspyr (Mac, Linux)",2015,2,0,0.00%
"2K Australia,Gearbox Software,Aspyr (Mac,Linux)",2014,2,0,0.00%
"2K Boston,2K Australia",2007,2,0,0.00%
"2K Boston,2K Australia,Blind Squirrel,Feral Interactive (Mac)",2016,2,0,0.00%
2K Czech,2010,4,0,0.00%
"2K Czech,Feral Interactive (Mac)",2010,3,0,0.00%
"2K Czech,Feral Interactive (Mac)",2011,1,0,0.00%
2K Marin,2013,4,0,0.00%
"2K Marin,2K China,Digital Extremes,2K Australia,Blind Squirrel",2016,4,0,0.00%
"2K Marin,2K China,Digital Extremes,2K Australia,Feral Interactive (Mac)",2010,1,0,0.00%
2Pi Interactive Pvt. Ltd.,2016,5,0,0.00%
2Play,2013,4,0,0.00%
"2Play,Fredrik Häthén Music",2017,4,0,0.00%
"2Play,Prasius",2017,5,0,0.00%
2SD,2015,6,0,0.00%
"2XL Games,Blitworks",2017,2,0,0.00%
2by3 Games,2010,2,0,0.00%
2by3 Games,2012,2,0,0.00%
2by3 Games,2013,2,0,0.00%
2by3 Games,2014,1,0,0.00%
2by3 Games,2015,2,0,0.00%
2x2 Games,2012,4,0,0.00%
2x2 Games,2013,2,0,0.00%
2xMilk,2017,6,0,0.00%
3 Core Studio,2013,1,0,0.00%
3 Fright,2016,4,0,0.00%
3 Minute Games,2017,3,0,0.00%
3 Sprockets,2012,2,0,0.00%
3 Sprockets,2013,2,0,0.00%
3 Sprockets,2014,2,0,0.00%
3 Sprockets,2017,3,0,0.00%
30.06 Studios Ltd,2014,2,0,0.00%
300 fps,2017,2,0,0.00%
3000AD,2009,4,0,0.00%
3000AD,2014,8,0,0.00%
3000AD,2015,8,0,0.00%
3100 games,2016,4,0,0.00%
313 Studios,2017,3,0,0.00%
314 Arts,2016,4,0,0.00%
"343 Industries,Vanguard Games",2014,1,0,0.00%
34BigThings srl,2015,3,0,0.00%
34BigThings srl,2016,3,0,0.00%
34BigThings srl,2017,5,0,0.00%
373vFS Greg,2017,1,0,0.00%
"38,9_Degrees",2017,6,0,0.00%
3909,2013,2,0,0.00%
3Crew,2016,3,0,0.00%
3D Avenue,2016,3,0,0.00%
3D Realms,1996,2,0,0.00%
3D Realms (Apogee Software),1990,3,0,0.00%
3D Realms (Apogee Software),1991,5,0,0.00%
3D Realms (Apogee Software),1992,3,0,0.00%
3D Realms (Apogee Software),1993,3,0,0.00%
3D Realms (Apogee Software),1994,1,0,0.00%
3D Realms (Apogee Software),1995,2,0,0.00%
3D Realms (Apogee Software),1997,1,0,0.00%
3D2 Entertainment,2017,4,0,0.00%
3DClouds.it,2017,9,0,0.00%
3DDUO,2016,10,0,0.00%
3DDUO,2017,5,0,0.00%
3Dflow SRL,2016,3,0,0.00%
3Division,2016,16,0,0.00%
3GoGames,2017,2,0,0.00%
3f Interactive,2012,2,0,0.00%
3f Interactive,2013,2,0,0.00%
3y3.net,2017,2,0,0.00%
4 Door Lemon,2016,4,0,0.00%
4 Friends Games,2017,4,0,0.00%
4 Head Studios,2006,2,0,0.00%
4 Head Studios,2007,2,0,0.00%
4 I Lab,2016,15,0,0.00%
4 I Lab,2017,3,0,0.00%
4-Panel Footprint,2015,7,0,0.00%
40Ggames,2017,4,0,0.00%
48h Studio,2014,2,0,0.00%
49 Games,2007,3,0,0.00%
49 Games,2008,1,0,0.00%
4A Games,2014,2,0,0.00%
4Bit Games,2015,2,0,0.00%
4D Door Games,2017,6,0,0.00%
"4EdgesGames,Visumeca",2016,2,0,0.00%
4FreaksFiction,2017,3,0,0.00%
4Friends Games,2015,2,0,0.00%
4HEAD Studios,2002,2,0,0.00%
4Head Studios,2008,1,0,0.00%
4NetGames,2015,6,0,0.00%
4Realms,2015,4,0,0.00%
4SKY Game Studio,2017,4,0,0.00%
4gency,2016,4,0,0.00%
4sdk,2010,2,0,0.00%
4th cluster,2016,2,0,0.00%
4th cluster,2017,4,0,0.00%
5 Bits Games,2014,2,0,0.00%
5 Lives Studios,2015,5,0,0.00%
505 Games,2013,3,0,0.00%
51Pegasi Studios,2016,5,0,0.00%
"51Pegasi Studios,Connor Lourenco",2017,4,0,0.00%
55 Revolver,2016,2,0,0.00%
5Wolf,2016,3,0,0.00%
5d Games GmbH,2017,4,0,0.00%
5th Cell Media,2012,3,0,0.00%
5th Cell Media,2013,4,0,0.00%
5th Planet Games,2017,3,0,0.00%
651 GAMES,2017,2,0,0.00%
68k Studios,2017,2,0,0.00%
6L6 Interactive,2016,2,0,0.00%
7 Generation Games,2016,2,0,0.00%
7 Raven Studios,2016,12,0,0.00%
7 Raven Studios,2017,3,0,0.00%
7 Road,2016,3,0,0.00%
7 Soft Pillows,2015,8,0,0.00%
71Games,2017,3,0,0.00%
773,2012,2,0,0.00%
773,2014,1,0,0.00%
773,2016,3,0,0.00%
777 Studios,2013,9,0,0.00%
777 Studios,2014,1,0,0.00%
777 Studios,2015,2,0,0.00%
"7Config,BadDoge",2016,4,0,0.00%
7DOTS,2017,6,0,0.00%
7K Games,2016,2,0,0.00%
7TPGames,2016,2,0,0.00%
8-Bit Studio,2017,17,0,0.00%
800 North,2017,3,0,0.00%
800 North and Digital Ranch,2011,2,0,0.00%
800 North and Digital Ranch,2014,2,0,0.00%
800 North and Digital Ranch,2015,2,0,0.00%
8888888 LABS,2013,2,0,0.00%
88mm,2014,2,0,0.00%
89AM Studio,2016,5,0,0.00%
89AM Studio,2017,6,0,0.00%
8D Studio,2015,5,0,0.00%
8Floor,2015,4,0,0.00%
8monkey Labs,Unavailable data,1,0,0.00%
8th Floor Games,2013,2,0,0.00%
9 Eyes Game Studio,2017,2,0,0.00%
971 Games,2016,2,0,0.00%
9heads Game Studios,2012,6,0,0.00%
9heads Game Studios,2014,1,0,0.00%
@VincentLTower,2017,3,0,0.00%
@YearOfTheBob,2017,2,0,0.00%
@lukasinspace,2017,8,0,0.00%
@unepic_fran,2014,3,0,0.00%
@unepic_fran,2016,9,0,0.00%
@unepic_fran,2017,7,0,0.00%
"A &amp; B Game Studios, LLC",2016,4,0,0.00%
A Crowd of Monsters,2015,7,0,0.00%
A Jolly Corpse,2014,3,0,0.00%
A Maniacal Game LP,2017,2,0,0.00%
"A Sharp, LLC",2015,2,0,0.00%
A Stranger Gravity,2015,4,0,0.00%
A Sweet Studio,2017,4,0,0.00%
A and F studios,2017,2,0,0.00%
"A-Flight,Caipirinha Games",2017,1,0,0.00%
"A. Fruit,Alexey Bokulev,Sergei Klimov,Charlie Oscar Lima Tango Interactive Entertainment",2016,2,0,0.00%
A. Hagen,2016,1,0,0.00%
A.J Starkey Enterprises,2015,4,0,0.00%
A.Lepunov,2017,9,0,0.00%
A.Y.std,2016,6,0,0.00%
A2A Simulations,2015,5,0,0.00%
AA Games,2017,2,0,0.00%
AAAGAMES s.r.o.,2016,3,0,0.00%
AAD Productions,2014,5,0,0.00%
AB SOFT,2017,2,0,0.00%
ACD Systems International Inc.,2012,1,0,0.00%
"ACE Ed-Venture Studio,Artoncode™",2017,2,0,0.00%
ACE MADDOX,2015,5,0,0.00%
ACE MADDOX,2017,5,0,0.00%
ACE Team,2009,2,0,0.00%
ACE Team,2011,4,0,0.00%
ACE Team,2013,2,0,0.00%
ACE Team,2014,6,0,0.00%
ACE Team,2016,3,0,0.00%
ACE Team,2017,8,0,0.00%
ACQUIRE Corp.,2012,1,0,0.00%
ACQUIRE Corp.,2015,10,0,0.00%
ACQUIRE Corp.,2016,8,0,0.00%
"ACSourse,Gamieon, Inc.",2016,3,0,0.00%
AECRNIA,2017,6,0,0.00%
AEL Entertainment,2016,4,0,0.00%
AEL Entertainment,Unavailable data,5,0,0.00%
AFStudio,2017,2,0,0.00%
AG media,2016,2,0,0.00%
AGC,2015,3,0,0.00%
AGO Games,2015,2,0,0.00%
AGP::Studios,2016,5,0,0.00%
AHA Entertainment,2016,4,0,0.00%
AHEARTFULOFGAMES,2016,6,0,0.00%
AIGRIND,2017,9,0,0.00%
AIHASTO,2017,2,0,0.00%
AIVIK LLC,2016,12,0,0.00%
AK Games,2016,1,0,0.00%
AKGames,2015,7,0,0.00%
AL Games,2017,2,0,0.00%
AL-GAME,2016,4,0,0.00%
AL-GAME,2017,2,0,0.00%
ALEKSANDER CHIEPAIKIN,2017,7,0,0.00%
ALICE IN DISSONANCE,2013,1,0,0.00%
ALICE IN DISSONANCE,2015,3,0,0.00%
ALICE IN DISSONANCE,2016,1,0,0.00%
ALICE IN DISSONANCE,Unavailable data,1,0,0.00%
ALLM,2017,16,0,0.00%
ALLPlayer Group Ltd.,2014,1,0,0.00%
ALTAR Interactive,2005,1,0,0.00%
"AMA,Mando Productions",2015,3,0,0.00%
AMG GAMES,2017,4,0,0.00%
AMIDEA Games,2016,2,0,0.00%
AMPLITUDE Studios,2012,1,0,0.00%
AMPLITUDE Studios,2014,10,0,0.00%
AMPLITUDE Studios,2015,26,0,0.00%
AMPLITUDE Studios,2016,4,0,0.00%
AMPLITUDE Studios,2017,13,0,0.00%
AMS Game Development Association,2016,2,0,0.00%
"AN Productions,Poxpower",2017,3,0,0.00%
ANDORE,2017,2,0,0.00%
ANIM•ACE,2017,2,0,0.00%
ANPA.US,2015,12,0,0.00%
ANPA.US,2016,24,0,0.00%
ANV Team,2017,3,0,0.00%
AOS GAME,2015,10,0,0.00%
APAS games,2015,2,0,0.00%
APGal,2017,1,0,0.00%
APPIDEMIC Studios,2015,1,0,0.00%
APPLEMINT,2017,3,0,0.00%
AQURIA,2017,4,0,0.00%
ARB Studios,2010,1,0,0.00%
"ARC SYSTEM WORKS Co., Ltd.,TOYBOX Inc.",2017,4,0,0.00%
AREA 35,2017,1,0,0.00%
ARES Inc.,2017,3,0,0.00%
ARGames,2017,2,0,0.00%
ARS,2017,2,0,0.00%
ARTDINK,2008,2,0,0.00%
ARTDINK,2015,6,0,0.00%
ARTDINK,2016,1,0,0.00%
ARTDINK,2017,1,0,0.00%
ARTIFACTS,2016,4,0,0.00%
ARTIFACTS,2017,2,0,0.00%
ARdigitC,2017,2,0,0.00%
ASC Games,2015,2,0,0.00%
ASGames,2016,4,0,0.00%
ASK Homework,2012,2,0,0.00%
ASTRO PORT,2011,4,0,0.00%
ASTRO PORT,2014,2,0,0.00%
ASTRO PORT,2015,6,0,0.00%
ASTRO PORT,2016,4,0,0.00%
ASTRO PORT,2017,2,0,0.00%
AT The Gate Team,2017,3,0,0.00%
ATTACK MOUNTAIN,2016,5,0,0.00%
ATTACK MOUNTAIN,2017,6,0,0.00%
AV media lab,2015,3,0,0.00%
AVE,2016,2,0,0.00%
AVGames,2016,3,0,0.00%
AVOlight,2017,2,0,0.00%
AVP,2017,4,0,0.00%
AWE Games,2006,2,0,0.00%
AYE Technology,2017,5,0,0.00%
AYE Technology,Unavailable data,3,0,0.00%
AZ-Art Development Studio,2015,2,0,0.00%
AZAMATIKA,2016,2,0,0.00%
Aardman Animations,2014,4,0,0.00%
Aaron Arcand,2015,3,0,0.00%
Aaron Oldenburg,2015,1,0,0.00%
Aartform,2013,1,0,0.00%
Aartform Games,2014,3,0,0.00%
Aatlantis Code,2016,4,0,0.00%
Aatlantis Code,Unavailable data,2,0,0.00%
Abbey Games,2013,3,0,0.00%
Abbey Games,2015,4,0,0.00%
Abbey Games,2016,4,0,0.00%
Abbey Games,2017,4,0,0.00%
Abdulla Hassan Al-Farsi,2016,3,0,0.00%
Abigail Corfman,2017,3,0,0.00%
Abnormal Software,2015,3,0,0.00%
Above and Beyond Technologies,2017,3,0,0.00%
Abraham Carreola,2015,2,0,0.00%
Abrakam SA,2017,8,0,0.00%
Abrupt Games,2015,1,0,0.00%
AbsQual Studio,2016,1,0,0.00%
Absent Moon Studios,2017,3,0,0.00%
Absolut Soft LLC,2016,2,0,0.00%
Absolutist Ltd,2017,3,0,0.00%
Absolutist Ltd.,2009,1,0,0.00%
Absolutist Ltd.,2015,6,0,0.00%
Absolutist Ltd.,2016,9,0,0.00%
Absorb Reality,2015,3,0,0.00%
Absorb Reality,2017,6,0,0.00%
Absorbed Studios,2017,3,0,0.00%
Absortalent Games,2017,2,0,0.00%
Abstract Tree Studio,2016,3,0,0.00%
Abstraction Games,2014,1,0,0.00%
"Abstraction Games,The Bitmap Brothers",2013,1,0,0.00%
"Abstraction Games,WayForward",2016,1,0,0.00%
Abstractive Works,2016,2,0,0.00%
Abyss Studios,2015,3,0,0.00%
"Accela,Inc.",2017,1,0,0.00%
"Acceleroto, Inc.",2015,1,0,0.00%
Access Games,2015,42,0,0.00%
Access Software,1989,2,0,0.00%
Access Software,1991,1,0,0.00%
Access Software,1994,1,0,0.00%
Access Software,1996,1,0,0.00%
Access Software,1998,1,0,0.00%
Accidental Queens,2017,8,0,0.00%
Acclaim Cheltenham,1998,1,0,0.00%
Acclaim Studios Teeside,1999,1,0,0.00%
Accolade,1993,2,0,0.00%
"Accolade, Inc",1996,1,0,0.00%
"Accolade, Inc.",1996,1,0,0.00%
"Accolade, Inc.",1999,3,0,0.00%
Acerio Games,2016,4,0,0.00%
Achebit,2015,4,0,0.00%
Achisoft,2017,3,0,0.00%
Achpile,2016,2,0,0.00%
Achpile,2017,2,0,0.00%
Acid Cat,2016,5,0,0.00%
Acid Nerve,2015,3,0,0.00%
Ackk Studios,2013,4,0,0.00%
Ackmi,2016,5,0,0.00%
"Acme Nerd Games, LLC",2017,3,0,0.00%
AcneVulgaris,2016,4,0,0.00%
"Acoustica, Inc.",2017,3,0,0.00%
Acquire,2012,7,0,0.00%
Acquire,2016,1,0,0.00%
Acquire Corp.,2015,16,0,0.00%
"Acquire,Zerodiv",2016,1,0,0.00%
"Acram Digital,Mobo Studio",2017,39,0,0.00%
"Act 3 Games, LLC",2017,4,0,0.00%
ActaLogic,2017,2,0,0.00%
Actalogic,2012,1,0,0.00%
Actalogic,2013,3,0,0.00%
Actalogic,2014,2,0,0.00%
"Action Button Entertainment, LLC",2016,3,0,0.00%
Activision,1993,1,0,0.00%
Activision,1996,1,0,0.00%
Activision,1997,1,0,0.00%
Activision,2000,1,0,0.00%
Actoz Soft,2017,6,0,0.00%
Actual Tools,2016,1,0,0.00%
Acute Games,2017,4,0,0.00%
Acuze Interactives,2017,8,0,0.00%
"Acuze Interactives,Winterbyte",2017,3,0,0.00%
Ad Aspera,2017,2,0,0.00%
Adage Games,2017,2,0,0.00%
Adam DeLease,2015,3,0,0.00%
Adam DeLease,2016,2,0,0.00%
Adam DeLease,2017,6,0,0.00%
Adam Foster,2013,2,0,0.00%
Adam Hebert,2017,4,0,0.00%
Adam John Adkins,2017,2,0,0.00%
"Adam McLellan,Ricardo Chirino",2016,5,0,0.00%
Adam Mowery,2015,3,0,0.00%
"Adam Saltsman,Robin Arnott",2012,1,0,0.00%
Adam Spragg,2014,2,0,0.00%
Adam Tarnowski,2015,3,0,0.00%
Adam Tarnowski,2017,1,0,0.00%
Adam Thompson,2017,3,0,0.00%
Adam Wells,2016,2,0,0.00%
Adaptive Game,Unavailable data,3,0,0.00%
"Adept Studios GD,Alawar Entertainment",2016,1,0,0.00%
Adham Jaber,2016,3,0,0.00%
Adhoc Games,2015,7,0,0.00%
Adhoc Games,2016,3,0,0.00%
Aditya Yadav,2017,3,0,0.00%
"Adriaan de Jongh,Sylvain Tegroeg",2017,3,0,0.00%
AdroVGames,2016,6,0,0.00%
Aduge Studio,2016,3,0,0.00%
Advent RPG,2016,7,0,0.00%
"Adventure Mob,Corbomite Games",2016,7,0,0.00%
"Adventure Productions,10th Art Studio",2015,2,0,0.00%
Adventurepro Games LLC,2014,4,0,0.00%
Adventurepro Games LLC,2017,4,0,0.00%
Adventurous Productions,2015,3,0,0.00%
Aegon Games,2015,2,0,0.00%
Aegon Games Ltd,2016,2,0,0.00%
Aegon Games Ltd,2017,2,0,0.00%
Aeon Dream Studios,2016,33,0,0.00%
Aeon Dream Studios,2017,8,0,0.00%
Aeonic Entertainment,2016,4,0,0.00%
Aerilon Studios,2017,4,0,0.00%
Aeroplane Heaven,2015,1,0,0.00%
Aeroplane Heaven,2016,1,0,0.00%
Aerosoft GmbH,2012,1,0,0.00%
Aerosoft GmbH,2013,1,0,0.00%
Aerosoft GmbH,2015,7,0,0.00%
Aerosoft GmbH,2016,8,0,0.00%
Aerosoft GmbH,2017,4,0,0.00%
"Aerosoft GmbH,Stairport Sceneries",2017,1,0,0.00%
"Aerosoft,Caipirinha Games",2017,1,0,0.00%
Aesir Interactive,2016,2,0,0.00%
Aesir Interactive,2017,2,0,0.00%
Aetheric Games,2017,2,0,0.00%
AfroDieter,2017,3,0,0.00%
Afrobeast Games,2016,1,0,0.00%
After Death Team,2017,3,0,0.00%
Afterlife Games,2016,4,0,0.00%
Afterthought LLC,2015,6,0,0.00%
Afterthought Studios,2016,3,0,0.00%
Afterthought Studios,2017,16,0,0.00%
Afterthought Studios,Unavailable data,4,0,0.00%
Agar3s,2017,1,0,0.00%
"Agency Principle,Purple Pwny Studios",2017,1,0,0.00%
Ageod,2011,5,0,0.00%
Ageod,2012,3,0,0.00%
Ageod,2013,5,0,0.00%
Ageod,2014,8,0,0.00%
Ageod,2015,7,0,0.00%
"Ageod,HQ",2015,2,0,0.00%
Aggressive Combustion,2017,2,0,0.00%
Aggroblakh,2016,3,0,0.00%
Aggroblakh,2017,3,0,0.00%
Agharta Studio,2013,3,0,0.00%
Aghayeva and Ko s.r.o.,2017,4,0,0.00%
Agrostemma,2016,2,0,0.00%
AirWave Games,2017,3,0,0.00%
Airborne Games,2017,4,0,0.00%
Airship Syndicate,2017,4,0,0.00%
Airtight Games,2010,2,0,0.00%
Airtight Games,2012,9,0,0.00%
Airtight Games,2014,3,0,0.00%
Airwolt,2016,3,0,0.00%
Aist,2016,6,0,0.00%
Aivaras Ivoškus,2016,3,0,0.00%
Aivaras Klimas,2016,2,0,0.00%
Akakiy Petrushkin,2015,2,0,0.00%
Akakiy Petrushkin,2016,3,0,0.00%
Akella,2014,2,0,0.00%
"Akella,.dat",2010,2,0,0.00%
"Akella,.dat",2011,1,0,0.00%
Akimbo Creations,2017,3,0,0.00%
Akonta band,2017,2,0,0.00%
Akumu Games,2016,4,0,0.00%
Akumu Games,2017,2,0,0.00%
AlPixel Games,2015,2,0,0.00%
"AlPixel Games,Luis Diaz,Gustavo Santos,Albert Fernandez,Tice Thomason",2015,4,0,0.00%
Alabeo,2015,5,0,0.00%
Alabeo,2016,3,0,0.00%
Alabeo,2017,1,0,0.00%
Alain Perrin,2017,1,0,0.00%
Alakhaine Specialist Consulting Limited,2017,4,0,0.00%
Alan Edwardes,2014,4,0,0.00%
Alan Edwardes,2017,5,0,0.00%
"Alan Hazelden,Benjamin Davis",2015,1,0,0.00%
"Alan Hazelden,Harry Lee",2014,1,0,0.00%
Alan Zucconi,2015,4,0,0.00%
"Alasdair Beckett-King,Application Systems Heidelberg",2016,2,0,0.00%
Alastair John Jack,2014,2,0,0.00%
Alawar,2007,1,0,0.00%
Alawar,2008,1,0,0.00%
Alawar,2009,2,0,0.00%
Alawar,2010,1,0,0.00%
Alawar,2012,2,0,0.00%
Alawar,2013,4,0,0.00%
Alawar,2014,2,0,0.00%
Alawar,2015,6,0,0.00%
Alawar,2016,2,0,0.00%
Alawar Dreamdale,2013,2,0,0.00%
Alawar Entertainment,2011,11,0,0.00%
Alawar Entertainment,2013,12,0,0.00%
Alawar Entertainment,2014,3,0,0.00%
Alawar Entertainment,2015,9,0,0.00%
Alawar Entertainment,2016,3,0,0.00%
Alawar Entertainment,2017,2,0,0.00%
"Alawar Entertainment,Amegami",2013,3,0,0.00%
"Alawar Entertainment,Toyman Interactive",2013,3,0,0.00%
Alawar Five-BN,2013,2,0,0.00%
Alawar Friday's Games,2014,3,0,0.00%
Alawar Stargaze,2011,2,0,0.00%
Alawar Stargaze,2013,3,0,0.00%
Alawar Stargaze,2016,2,0,0.00%
"Alawar Stargaze,Alawar Entertainment",2015,7,0,0.00%
"Alawar,Mirball Games",2013,2,0,0.00%
"Alawar,Whalebox Studio",2014,3,0,0.00%
Albatros Softworks,2017,17,0,0.00%
Albatross Wirehead,2017,3,0,0.00%
Alberto Santiago,2017,3,0,0.00%
Albin Bernhardsson,2017,2,0,0.00%
Alchemist Studio,2016,2,0,0.00%
AlcoholEnthusiast,2017,3,0,0.00%
Alda Games,2015,4,0,0.00%
Alder Games,2012,2,0,0.00%
Alder Games,2013,2,0,0.00%
Alder Games,2017,10,0,0.00%
Aldorlea Games,2010,4,0,0.00%
Aldorlea Games,2014,26,0,0.00%
Aldorlea Games,2015,79,0,0.00%
Aldorlea Games,2016,18,0,0.00%
Aldorlea Games,2017,23,0,0.00%
Alec Smith,Unavailable data,2,0,0.00%
"Alec Smith,Dane Winn",2016,2,0,0.00%
Aleksandar Dakic,2017,3,0,0.00%
Aleksandar Kuzmanovic Games,2017,3,0,0.00%
Aleksander Ciesielski,2015,3,0,0.00%
Aleksandr Golovkin,2017,2,0,0.00%
Aleksandr Kotukhov,2017,2,0,0.00%
"Aleksandr Soldatov,Leonid Kozhushko",2017,3,0,0.00%
Alekseev,2016,2,0,0.00%
Alekseev,2017,2,0,0.00%
Aleksey Abramenko,2012,2,0,0.00%
Alessandro Guzzo,2017,2,0,0.00%
Alex Hall,2017,3,0,0.00%
Alex Hanson-White,2016,3,0,0.00%
Alex Jedraszczak,2014,2,0,0.00%
Alex Piola,2015,3,0,0.00%
Alex Williams,2016,2,0,0.00%
Alex Woodcock,2015,3,0,0.00%
Alex Zhang,2015,2,0,0.00%
Alex's Daddy,2017,1,0,0.00%
AlexHoratio,Unavailable data,2,0,0.00%
"Alexander Ahura,Alexey Davydov,Sergey Dvoynikov,Timofey Shargorodskiy",2016,4,0,0.00%
Alexander Benedict,2017,4,0,0.00%
Alexander Bruce,2013,2,0,0.00%
Alexander Byzov,2015,12,0,0.00%
Alexander Byzov,2016,18,0,0.00%
Alexander Byzov,2017,27,0,0.00%
Alexander Goodwin,2017,2,0,0.00%
Alexander Kov,2016,3,0,0.00%
Alexander Mirdzveli,2015,3,0,0.00%
Alexander Shvab,2017,3,0,0.00%
Alexander Spillman,2017,2,0,0.00%
Alexandr Kataev,2016,3,0,0.00%
"Alexandr Lavelin,Evgeny Shcherbakov",2016,4,0,0.00%
Alexandr Shvab,2017,1,0,0.00%
"Alexandru C.,Vector 7",2017,5,0,0.00%
"Alexey Bokulev,Sergei Klimov,Charlie Oscar Lima Tango Interactive Entertainment",2016,8,0,0.00%
"Alexey Bokulev,Sergei Klimov,Charlie Oscar Lima Tango Interactive Entertainment",2017,4,0,0.00%
"Alexey Bokulev,Snowbird Games",2009,2,0,0.00%
"Alexey Davydov,Sergey Dvoynikov,Timofey Shargorodskiy",2015,7,0,0.00%
"Alexey Davydov,Sergey Dvoynikov,Timofey Shargorodskiy",2016,4,0,0.00%
Alexey Glinskiy,2016,4,0,0.00%
Alexey Glinskiy,2017,22,0,0.00%
Alexey Kargin,2017,2,0,0.00%
"Alexey Khazov,Cristian Ionescu,Lars van Dorenvanck,Brandon van Doorn,Joran Vergoessen,Admir Leka",2016,3,0,0.00%
Alexey Roenko,2016,3,0,0.00%
Alexey Volonsky,2017,11,0,0.00%
Alfred Lam,2012,2,0,0.00%
Aliasworlds Entertainment,2009,1,0,0.00%
"Aliasworlds,Amegami,Rionix,Melesta",2016,1,0,0.00%
Alice &amp; Smith,2015,15,0,0.00%
Alice &amp; Smith,2016,11,0,0.00%
Alice &amp; Smith,2017,8,0,0.00%
Alien Jellyfish,2017,4,0,0.00%
Alien Mind,2017,1,0,0.00%
Alien Octopus Studio,2013,3,0,0.00%
Alien Pixel Studios,2016,6,0,0.00%
Alien Sync Interactive,2015,2,0,0.00%
Alientrap,2011,2,0,0.00%
Alientrap,2015,15,0,0.00%
Alientrap,2017,11,0,0.00%
AlikArt Studio,2015,2,0,0.00%
Alina Digital,2016,6,0,0.00%
Alina Digital,2017,2,0,0.00%
