release_year,sentiment_analysis,developer
2013,2,Hanako Games
2015,0,Code}{atch
2015,0,Code}{atch
2015,0,Code}{atch
2015,0,Code}{atch
2015,0,Code}{atch
2009,1,Valve
2015,2,Bethesda Game Studios
2014,1,"Vanguard Games,343 Industries"
2007,2,Valve
2007,2,Valve
2014,1,Awesome Games Studio
2014,1,Awesome Games Studio
2014,1,Awesome Games Studio
2014,1,Awesome Games Studio
2007,0,Valve
2007,0,Valve
2012,1,Valve
2016,1,Ludeon Studios
2016,1,Ludeon Studios
2016,1,Ludeon Studios
2016,1,Ludeon Studios
2014,1,Scott Cawthon
2015,1,Bethesda Game Studios
2011,2,Tripwire Interactive
2011,2,Tripwire Interactive
2011,2,Tripwire Interactive
2015,1,tobyfox
2015,1,tobyfox
2009,1,Valve
2007,1,Valve
2007,1,Valve
2007,1,Valve
2007,1,Valve
2012,1,"Firaxis Games,Feral Interactive (Mac),Feral Interactive (Linux)"
2012,1,Valve
2012,2,Wild Shadow Studios
2012,2,Wild Shadow Studios
2012,2,Wild Shadow Studios
2012,2,Wild Shadow Studios
2012,2,Wild Shadow Studios
2015,0,Trion Worlds
2015,0,Trion Worlds
2015,0,Trion Worlds
2015,0,Trion Worlds
2015,0,Trion Worlds
2015,0,Trion Worlds
2014,1,Matt Roszak
2014,1,Matt Roszak
2015,1,Holy Priest
2015,1,Holy Priest
2015,1,Holy Priest
2015,1,Holy Priest
2012,2,Valve
2014,1,"Expansive Worlds,Avalanche Studios"
2014,1,"Expansive Worlds,Avalanche Studios"
2014,1,"Expansive Worlds,Avalanche Studios"
2014,1,"Expansive Worlds,Avalanche Studios"
2014,1,"Expansive Worlds,Avalanche Studios"
2007,1,Valve
2007,1,Valve
2009,1,Valve
2012,1,Valve
2007,2,Valve
2007,2,Valve
2016,1,Reperio Studios
2016,1,Reperio Studios
2016,1,Reperio Studios
2016,1,Reperio Studios
2016,1,Reperio Studios
2015,1,"M2 Co.,LTD"
2006,1,Facepunch Studios
2006,1,Facepunch Studios
2015,1,Keen Software House
2015,1,Keen Software House
2015,1,Keen Software House
2015,1,Keen Software House
2015,1,Keen Software House
2013,2,Bohemia Interactive
2013,2,Bohemia Interactive
2013,2,Bohemia Interactive
2013,2,Bohemia Interactive
2012,0,Valve
2007,1,Valve
2007,1,Valve
2012,1,Hardsuit Labs
2012,1,Hardsuit Labs
2014,1,RobTop Games
2014,1,RobTop Games
2007,1,Valve
2007,1,Valve
2012,1,Valve
2017,1,"Studio Wildcard,Instinct Games,Efecto Studios,Virtual Basement LLC"
2017,1,"Studio Wildcard,Instinct Games,Efecto Studios,Virtual Basement LLC"
2017,1,"Studio Wildcard,Instinct Games,Efecto Studios,Virtual Basement LLC"
2017,1,"Studio Wildcard,Instinct Games,Efecto Studios,Virtual Basement LLC"
2017,1,"Studio Wildcard,Instinct Games,Efecto Studios,Virtual Basement LLC"
2015,1,"Ubisoft Sofia,Ubisoft Kiev"
2015,1,"Ubisoft Sofia,Ubisoft Kiev"
2012,1,Valve
2004,0,Valve
2017,1,Smartly Dressed Games
2017,1,Smartly Dressed Games
2017,1,Smartly Dressed Games
2017,1,Smartly Dressed Games
2017,1,Smartly Dressed Games
2012,0,Valve
2016,1,Massive Entertainment
2016,1,Massive Entertainment
2016,1,Massive Entertainment
2016,2,NGD Studios
2007,1,Valve
2007,1,Valve
2017,2,Freejam
2017,2,Freejam
2017,2,Freejam
2017,2,Freejam
2017,2,Freejam
2017,2,Freejam
2011,1,Volition
2017,1,"Studio Wildcard,Instinct Games,Efecto Studios,Virtual Basement LLC"
2017,1,"Studio Wildcard,Instinct Games,Efecto Studios,Virtual Basement LLC"
2017,1,"Studio Wildcard,Instinct Games,Efecto Studios,Virtual Basement LLC"
2017,1,"Studio Wildcard,Instinct Games,Efecto Studios,Virtual Basement LLC"
2017,1,"Studio Wildcard,Instinct Games,Efecto Studios,Virtual Basement LLC"
2015,2,Turtle Rock Studios
2015,2,Turtle Rock Studios
2012,0,Valve
2012,2,Valve
2012,2,Valve
2015,2,Serenity Forge
2015,2,Serenity Forge
2012,2,Valve
2012,2,Valve
2015,1,Konami Digital Entertainment
2015,1,Konami Digital Entertainment
2013,1,D-Pad Studio
2013,1,D-Pad Studio
2014,1,Cosmic Cow LLC
2014,1,Cosmic Cow LLC
2014,1,Cosmic Cow LLC
2014,1,Cosmic Cow LLC
2014,1,Cosmic Cow LLC
2014,1,Cosmic Cow LLC
2012,1,Valve
2015,1,Team Fractal Alligator
2015,1,Team Fractal Alligator
2014,2,Haemimont Games
2014,2,Haemimont Games
2014,2,Haemimont Games
1998,1,Valve
2014,1,Rob Howland
2014,1,Rob Howland
2014,1,Rob Howland
2007,1,Valve
2007,1,Valve
2015,1,Ubisoft Montreal
2007,1,Valve
2012,1,Valve
2014,1,Matt Roszak
2014,1,Matt Roszak
2010,1,Telltale Games
2010,1,Telltale Games
2007,2,Valve
2007,2,Valve
2013,0,Facepunch Studios
2013,0,Facepunch Studios
2013,0,Facepunch Studios
2013,0,Facepunch Studios
2013,0,Facepunch Studios
2013,0,Facepunch Studios
2010,2,"Firaxis Games,Aspyr (Mac, Linux)"
2017,2,Smartly Dressed Games
2017,2,Smartly Dressed Games
2017,2,Smartly Dressed Games
2017,2,Smartly Dressed Games
2017,2,Smartly Dressed Games
2013,1,Digital Extremes
2013,1,Digital Extremes
2007,2,Valve
2007,2,Valve
2012,0,Torn Banner Studios
2012,0,Torn Banner Studios
2010,2,"Firaxis Games,Aspyr (Mac, Linux)"
2011,0,Re-Logic
2011,0,Re-Logic
2011,0,Re-Logic
2011,0,Re-Logic
2015,2,Avalanche Studios
2015,2,Avalanche Studios
2013,1,Digital Extremes
2013,1,Digital Extremes
2015,1,Rockstar North
2015,1,Rockstar North
2014,1,Shumkov Dmitriy
2014,1,Shumkov Dmitriy
2014,1,Shumkov Dmitriy
2017,1,Smartly Dressed Games
2017,1,Smartly Dressed Games
2017,1,Smartly Dressed Games
2017,1,Smartly Dressed Games
2017,1,Smartly Dressed Games
2016,1,Reto-Moto
2016,1,Reto-Moto
2016,1,Reto-Moto
2016,1,Reto-Moto
2013,1,Bohemia Interactive
2013,1,Bohemia Interactive
2013,1,Bohemia Interactive
2013,1,Bohemia Interactive
2012,2,Valve
2007,1,Valve
2007,1,Valve
2017,1,Freejam
2017,1,Freejam
2017,1,Freejam
2017,1,Freejam
2017,1,Freejam
2017,1,Freejam
2007,1,Valve
2007,1,Valve
2006,2,Facepunch Studios
2006,2,Facepunch Studios
2014,1,Shumkov Dmitriy
2014,1,Shumkov Dmitriy
2014,1,Shumkov Dmitriy
2015,2,Squad
2015,2,Squad
2015,2,Section Studios
2015,2,Section Studios
2015,2,Section Studios
2015,2,Section Studios
2015,1,"Expansive Worlds,Avalanche Studios"
2015,1,"Expansive Worlds,Avalanche Studios"
2015,1,"Expansive Worlds,Avalanche Studios"
2013,1,Treyarch
2015,1,Trion Worlds
2015,1,Trion Worlds
2015,1,Trion Worlds
2015,1,Trion Worlds
2015,1,Trion Worlds
2015,1,Trion Worlds
2009,2,"Infinity Ward,Aspyr (Mac)"
2014,1,Endnight Games Ltd
2014,1,Endnight Games Ltd
2014,1,Endnight Games Ltd
2014,1,Endnight Games Ltd
2014,1,Endnight Games Ltd
2013,1,Kuno Interactive
2013,1,Kuno Interactive
2016,1,Reto-Moto
2016,1,Reto-Moto
2016,1,Reto-Moto
2016,1,Reto-Moto
2017,1,Smartly Dressed Games
2017,1,Smartly Dressed Games
2017,1,Smartly Dressed Games
2017,1,Smartly Dressed Games
2017,1,Smartly Dressed Games
2012,1,Valve
2016,1,Black Death Apps Limited
2015,2,"Psyonix, Inc."
2015,2,"Psyonix, Inc."
2015,2,"Psyonix, Inc."
2015,2,"Psyonix, Inc."
2004,1,Valve
2014,1,SmashGames
2014,1,SmashGames
2014,1,SmashGames
2014,1,SmashGames
2015,1,Tigerish Games
2015,1,Tigerish Games
2013,1,Digital Extremes
2013,1,Digital Extremes
2017,1,Freejam
2017,1,Freejam
2017,1,Freejam
2017,1,Freejam
2017,1,Freejam
2017,1,Freejam
2005,0,Pandemic Studios
2014,0,Dingaling
2014,0,Dingaling
2014,0,Dingaling
2014,2,Ankama Studio
2014,2,Ankama Studio
2014,2,Ankama Studio
2014,2,Ankama Studio
2014,2,Ankama Studio
2015,1,Rockstar North
2015,1,Rockstar North
2010,1,Avalanche Studios
2010,1,Avalanche Studios
2014,1,Phosphor Games Studio
2014,1,Phosphor Games Studio
2014,1,Phosphor Games Studio
2014,1,Phosphor Games Studio
2014,1,Phosphor Games Studio
2014,1,Microblast Games
2014,1,Microblast Games
2014,1,Microblast Games
2013,1,Bohemia Interactive
2013,1,Bohemia Interactive
2013,1,Bohemia Interactive
2013,1,Bohemia Interactive
2013,1,"Crystal Dynamics,Feral Interactive (Mac),Feral Interactive (Linux)"
2013,1,"Crystal Dynamics,Feral Interactive (Mac),Feral Interactive (Linux)"
2008,1,Valve
2013,1,Deep Silver Volition
2013,1,Deep Silver Volition
2009,2,Valve
2013,2,Threaks
2013,2,Threaks
2013,2,Threaks
2013,2,Threaks
2013,1,Bohemia Interactive
2013,1,Bohemia Interactive
2013,1,Bohemia Interactive
2013,1,Bohemia Interactive
2016,1,Reto-Moto
2016,1,Reto-Moto
2016,1,Reto-Moto
2016,1,Reto-Moto
2017,1,Freejam
2017,1,Freejam
2017,1,Freejam
2017,1,Freejam
2017,1,Freejam
2017,1,Freejam
2013,1,Deep Silver Volition
2013,1,Deep Silver Volition
2017,0,Trendy Entertainment
2017,0,Trendy Entertainment
2017,0,Trendy Entertainment
2017,0,Trendy Entertainment
2017,0,Trendy Entertainment
2007,2,Valve
2007,2,Valve
2015,1,Straight Right
2015,1,Straight Right
2016,1,Crate Entertainment
2016,1,Crate Entertainment
2016,1,Crate Entertainment
2016,1,Crate Entertainment
2012,2,Valve
2006,1,Facepunch Studios
2006,1,Facepunch Studios
2015,1,OVERKILL - a Starbreeze Studio.
2015,1,OVERKILL - a Starbreeze Studio.
2011,2,Tripwire Interactive
2011,2,Tripwire Interactive
2011,2,Tripwire Interactive
2013,2,Digital Extremes
2013,2,Digital Extremes
2017,1,Incandescent Games
2017,1,Incandescent Games
2014,1,Creability
2014,1,Creability
2014,1,Creability
2015,0,Visual Concepts
2015,2,Doctor Entertainment AB
2015,2,Doctor Entertainment AB
2015,2,Doctor Entertainment AB
2016,1,Andrew Gilmour
2016,1,Andrew Gilmour
2014,1,Shumkov Dmitriy
2014,1,Shumkov Dmitriy
2014,1,Shumkov Dmitriy
2007,1,Valve
2007,1,Valve
2016,1,"Fabio Ferrara,Davide Caio,Nicolò Azzolini,Antonio Carcagnì,Luigi Di Guida,Tommaso Vita"
2016,1,"Fabio Ferrara,Davide Caio,Nicolò Azzolini,Antonio Carcagnì,Luigi Di Guida,Tommaso Vita"
2013,1,Bohemia Interactive
2013,1,Bohemia Interactive
2013,1,Bohemia Interactive
2013,1,Bohemia Interactive
2013,1,"Hopoo Games, LLC"
2013,1,"Hopoo Games, LLC"
2013,1,"Hopoo Games, LLC"
2017,1,Smartly Dressed Games
2017,1,Smartly Dressed Games
2017,1,Smartly Dressed Games
2017,1,Smartly Dressed Games
2017,1,Smartly Dressed Games
2014,1,Endnight Games Ltd
2014,1,Endnight Games Ltd
2014,1,Endnight Games Ltd
2014,1,Endnight Games Ltd
2014,1,Endnight Games Ltd
2012,0,Valve
2009,1,Radical Entertainment
2009,1,Radical Entertainment
2013,1,Creative Assembly
2017,2,Blue Mammoth Games
2017,2,Blue Mammoth Games
2017,2,Blue Mammoth Games
2016,0,Hello Games
2016,0,Hello Games
2015,1,South East Games
2015,1,South East Games
2015,1,South East Games
2012,1,Valve
2008,2,Treyarch
2013,1,Facepunch Studios
2013,1,Facepunch Studios
2013,1,Facepunch Studios
2013,1,Facepunch Studios
2013,1,Facepunch Studios
2013,1,Facepunch Studios
2013,0,Facepunch Studios
2013,0,Facepunch Studios
2013,0,Facepunch Studios
2013,0,Facepunch Studios
2013,0,Facepunch Studios
2013,0,Facepunch Studios
2009,1,Bethesda Game Studios
2009,1,Tripwire Interactive
2007,0,Valve
2007,0,Valve
2007,2,Valve
2007,2,Valve
2014,1,KillHouse Games
2014,1,KillHouse Games
2014,1,KillHouse Games
2014,1,KillHouse Games
2014,1,Edge of Reality
2014,1,Edge of Reality
2014,1,Edge of Reality
2007,1,"Eric Hartman,Ben Garney,Anthony Rotondo"
2007,1,"Eric Hartman,Ben Garney,Anthony Rotondo"
2007,1,"Eric Hartman,Ben Garney,Anthony Rotondo"
2014,2,Noble Empire Corp.
2014,2,Noble Empire Corp.
2014,2,Noble Empire Corp.
2013,1,Bohemia Interactive
2013,1,Bohemia Interactive
2013,1,Bohemia Interactive
2013,1,Bohemia Interactive
2006,2,Facepunch Studios
2006,2,Facepunch Studios
2013,1,Team Psykskallar
2013,1,Team Psykskallar
2013,1,Team Psykskallar
2014,2,Double Action Factory
2014,2,Double Action Factory
2014,2,Double Action Factory
2013,1,Dragonfly
2013,1,Dragonfly
2012,2,Valve
2016,1,JCKSLAP
2016,1,JCKSLAP
2006,2,Facepunch Studios
2006,2,Facepunch Studios
1992,1,Humongous Entertainment
1992,1,Humongous Entertainment
2016,1,5Wolf
2015,0,"DONTNOD Entertainment,Feral Interactive (Mac),Feral Interactive (Linux)"
2015,0,"DONTNOD Entertainment,Feral Interactive (Mac),Feral Interactive (Linux)"
2017,1,Sauropod Studio
2017,1,Sauropod Studio
2014,0,Edge of Reality
2014,0,Edge of Reality
2014,0,Edge of Reality
2012,2,Valve
2013,1,Beamdog
2013,1,Beamdog
2011,1,Tripwire Interactive
2011,1,Tripwire Interactive
2011,1,Tripwire Interactive
2010,1,Cryptic Studios
2010,1,Cryptic Studios
2010,1,Cryptic Studios
2013,1,Zero Point Software
2013,1,Zero Point Software
2013,1,Zero Point Software
2013,1,Zero Point Software
2013,1,Zero Point Software
2015,1,Spiderling Studios
2015,1,Spiderling Studios
2015,1,Spiderling Studios
2015,2,Beam Team Games
2015,2,Beam Team Games
2015,2,Beam Team Games
2016,2,Chucklefish
2016,2,Chucklefish
2016,2,Chucklefish
2016,2,Chucklefish
2016,2,Chucklefish
2011,2,Freebird Games
2011,2,Freebird Games
2011,2,Freebird Games
2007,1,Valve
2007,1,Valve
2012,0,Jagex Limited
2012,0,Jagex Limited
2012,1,Valve
2013,1,Pocketwatch Games
2013,1,Pocketwatch Games
2013,1,Pocketwatch Games
2013,1,Pocketwatch Games
2013,1,Pocketwatch Games
2016,1,Square Enix
2011,0,ACE Team
2011,0,ACE Team
2011,0,ACE Team
2011,0,ACE Team
2012,2,Paradox Development Studio
2012,2,Paradox Development Studio
2012,2,Paradox Development Studio
2009,1,Valve
2013,1,Digital Extremes
2013,1,Digital Extremes
2016,0,Reto-Moto
2016,0,Reto-Moto
2016,0,Reto-Moto
2016,0,Reto-Moto
2008,1,Maxis™
2014,1,Double Action Factory
2014,1,Double Action Factory
2014,1,Double Action Factory
2014,1,Vagabond Dog
2014,1,Vagabond Dog
2012,2,Valve
2015,2,ALICE IN DISSONANCE
2010,2,Obsidian Entertainment
2010,2,Obsidian Entertainment
2007,2,Valve
2007,2,Valve
2010,2,Cryptic Studios
2010,2,Cryptic Studios
2010,2,Cryptic Studios
2013,1,Bohemia Interactive
2013,1,Bohemia Interactive
2013,1,Bohemia Interactive
2012,1,Terry Cavanagh
2012,1,Terry Cavanagh
2013,1,Pocketwatch Games
2013,1,Pocketwatch Games
2013,1,Pocketwatch Games
2013,1,Pocketwatch Games
2013,1,Pocketwatch Games
2015,1,Bethesda Game Studios
2012,1,Valve
2012,1,"Standing Stone Games, LLC"
2012,1,"Standing Stone Games, LLC"
2012,1,"Standing Stone Games, LLC"
2003,1,Rockstar San Diego
2016,2,Crate Entertainment
2016,2,Crate Entertainment
2016,2,Crate Entertainment
2016,2,Crate Entertainment
2012,2,Torn Banner Studios
2012,2,Torn Banner Studios
2015,2,Doctor Entertainment AB
2015,2,Doctor Entertainment AB
2015,2,Doctor Entertainment AB
2013,2,Critical Studio
2013,2,Critical Studio
2013,2,Critical Studio
2013,1,Facepunch Studios
2013,1,Facepunch Studios
2013,1,Facepunch Studios
2013,1,Facepunch Studios
2013,1,Facepunch Studios
2013,1,Facepunch Studios
2016,1,Icetesy SPRL
2009,1,Gearbox Software
2009,1,Gearbox Software
2014,2,Obsidian Entertainment
2014,2,Obsidian Entertainment
2014,2,Obsidian Entertainment
2015,0,tobyfox
2015,0,tobyfox
2011,1,Re-Logic
2011,1,Re-Logic
2011,1,Re-Logic
2011,1,Re-Logic
2012,2,Hardsuit Labs
2012,2,Hardsuit Labs
2014,1,Fistful of Frags Team
2014,1,Fistful of Frags Team
2014,1,Fistful of Frags Team
2015,1,"Nicalis, Inc.,Edmund McMillen"
2015,1,"Nicalis, Inc.,Edmund McMillen"
2010,1,Ubisoft Montreal
2010,1,Ubisoft Montreal
1998,1,Valve
2003,0,CCP
2003,0,CCP
2003,0,CCP
2003,0,CCP
2003,0,CCP
2013,0,Bohemia Interactive
2013,0,Bohemia Interactive
2013,0,Bohemia Interactive
2013,0,Bohemia Interactive
2011,2,Grey Havens
2011,2,Grey Havens
2011,2,Grey Havens
2011,2,Grey Havens
2011,2,Grey Havens
2011,2,Grey Havens
2014,2,"Nicalis, Inc."
2016,2,Chucklefish
2016,2,Chucklefish
2016,2,Chucklefish
2016,2,Chucklefish
2016,2,Chucklefish
2010,1,Outerlight Ltd.
2015,2,Squad
2015,2,Squad
2011,1,Visceral Games
2014,1,Ironhide Game Studio
2014,1,Ironhide Game Studio
2014,1,Ironhide Game Studio
2006,1,Facepunch Studios
2006,1,Facepunch Studios
2004,1,Valve
2016,1,Heart Machine
2016,1,Heart Machine
2016,1,Heart Machine
2016,1,Heart Machine
2015,1,Proton Studio Inc
2015,1,Proton Studio Inc
2015,1,Proton Studio Inc
2015,1,Proton Studio Inc
2016,1,Axolot Games
2016,1,Axolot Games
2016,1,Axolot Games
2016,1,Axolot Games
2016,1,Axolot Games
2010,2,Valve
2015,0,Rockstar North
2015,0,Rockstar North
2012,1,Ascaron
2015,1,Cyanide Studios
2015,1,Cyanide Studios
2007,1,Valve
2007,1,Valve
2008,1,"Tilted Mill Entertainment, Inc."
2008,1,"Tilted Mill Entertainment, Inc."
2014,2,AMPLITUDE Studios
2014,2,AMPLITUDE Studios
2012,2,Treyarch
2011,2,CD PROJEKT RED
2014,2,Coffee Stain Studios
2014,2,Coffee Stain Studios
2014,2,Coffee Stain Studios
2014,0,Vortal Storm
2014,0,Vortal Storm
2015,2,tobyfox
2015,2,tobyfox
2013,1,NeocoreGames
2013,1,NeocoreGames
2013,1,NeocoreGames
2013,1,NeocoreGames
2015,1,Stardock Entertainment
2015,1,Stardock Entertainment
2011,1,Volition
2013,1,No data available
2013,1,No data available
2012,1,Valve
2013,1,Bohemia Interactive
2013,1,Bohemia Interactive
2013,1,Bohemia Interactive
2013,1,Bohemia Interactive
2010,1,Obsidian Entertainment
2010,1,Obsidian Entertainment
2006,2,Facepunch Studios
2006,2,Facepunch Studios
2016,1,Edge Case Games Ltd.
2016,1,Edge Case Games Ltd.
2016,1,Edge Case Games Ltd.
2016,1,Edge Case Games Ltd.
2006,1,Facepunch Studios
2006,1,Facepunch Studios
2006,1,Facepunch Studios
2006,1,Facepunch Studios
2013,2,Ubisoft Montreal
2013,2,Ubisoft Montreal
2013,2,Digital Extremes
2013,2,Digital Extremes
2015,0,WARTEAM
2015,0,WARTEAM
2015,0,WARTEAM
2015,1,Spiderling Studios
2015,1,Spiderling Studios
2015,1,Spiderling Studios
2013,2,Bohemia Interactive
2013,2,Bohemia Interactive
2013,2,Bohemia Interactive
2012,0,Wild Shadow Studios
2012,0,Wild Shadow Studios
2012,0,Wild Shadow Studios
2012,0,Wild Shadow Studios
2012,0,Wild Shadow Studios
2013,1,Bohemia Interactive
2013,1,Bohemia Interactive
2013,1,Bohemia Interactive
2013,1,Bohemia Interactive
2007,2,Valve
2007,2,Valve
2007,1,Valve
2007,1,Valve
2012,2,Valve
2016,1,Jagex
2016,1,Jagex
2016,1,Jagex
2007,1,Bizarre Creations
2009,2,"The Creative Assembly,Feral Interactive (Mac),Feral Interactive (Linux)"
2012,1,Valve
2012,2,"Ubisoft Montreal, Massive Entertainment, and Ubisoft Shanghai"
2012,2,"Ubisoft Montreal, Massive Entertainment, and Ubisoft Shanghai"
2014,0,"Eidos-Montréal,Feral Interactive (Mac)"
2014,0,"Eidos-Montréal,Feral Interactive (Mac)"
2010,2,Valve
2012,1,Wild Shadow Studios
2012,1,Wild Shadow Studios
2012,1,Wild Shadow Studios
2012,1,Wild Shadow Studios
2012,1,Wild Shadow Studios
2015,1,Lonely Troops
2015,1,Lonely Troops
2015,1,Lonely Troops
2015,1,Lonely Troops
2013,1,Crackshell
2013,1,Crackshell
2013,1,Crackshell
2013,1,Crackshell
2012,1,Valve
2014,1,Net Games Laboratory
2014,1,Net Games Laboratory
2014,1,Net Games Laboratory
2014,1,Net Games Laboratory
2000,1,Valve
2012,0,Valve
2013,1,Facepunch Studios
2013,1,Facepunch Studios
2013,1,Facepunch Studios
2013,1,Facepunch Studios
2013,1,Facepunch Studios
2013,1,Facepunch Studios
2016,2,Edge Case Games Ltd.
2016,2,Edge Case Games Ltd.
2016,2,Edge Case Games Ltd.
2016,2,Edge Case Games Ltd.
2017,2,Smartly Dressed Games
2017,2,Smartly Dressed Games
2017,2,Smartly Dressed Games
2017,2,Smartly Dressed Games
2017,2,Smartly Dressed Games
2015,1,Playsaurus
2015,1,Playsaurus
2015,1,Playsaurus
2015,1,Playsaurus
2015,1,Playsaurus
2015,1,Playsaurus
2015,1,Playsaurus
2004,2,Valve
2010,2,TaleWorlds Entertainment
2010,2,TaleWorlds Entertainment
2015,0,Colossal Order Ltd.
2015,0,Colossal Order Ltd.
2016,1,"Creative Assembly,Feral Interactive (Linux),Feral Interactive (Mac)"
2016,1,"Creative Assembly,Feral Interactive (Linux),Feral Interactive (Mac)"
2006,1,Facepunch Studios
2006,1,Facepunch Studios
2014,1,Fistful of Frags Team
2014,1,Fistful of Frags Team
2014,1,Fistful of Frags Team
2014,0,Oovee® Game Studios
2014,0,Oovee® Game Studios
2014,0,Oovee® Game Studios
2012,0,Valve
2010,0,Rebellion
2007,2,Valve
2007,2,Valve
2015,1,Zachtronics
2015,1,Zachtronics
2013,2,FarSight Studios
2013,2,FarSight Studios
2012,1,"Monolith Productions, Inc."
2012,1,"Monolith Productions, Inc."
2005,2,Pandemic Studios
2007,0,Valve
2007,0,Valve
2006,1,Facepunch Studios
2006,1,Facepunch Studios
2016,1,"Creative Assembly,Feral Interactive (Linux),Feral Interactive (Mac)"
2016,1,"Creative Assembly,Feral Interactive (Linux),Feral Interactive (Mac)"
2013,1,"Monochrome, Inc"
2013,1,"Monochrome, Inc"
2013,1,"Monochrome, Inc"
2013,1,Bohemia Interactive
2013,1,Bohemia Interactive
2013,1,Bohemia Interactive
2013,1,Bohemia Interactive
2006,2,Facepunch Studios
2006,2,Facepunch Studios
2015,1,Code}{atch
2015,1,Code}{atch
2015,1,Code}{atch
2015,1,Code}{atch
2015,1,Code}{atch
2016,2,"FromSoftware, Inc."
2014,1,New World Interactive
2014,1,New World Interactive
2014,1,New World Interactive
2014,2,Supergiant Games
2014,2,Supergiant Games
2014,2,Supergiant Games
2017,1,Powerhoof
2017,1,Powerhoof
2017,1,Powerhoof
2016,2,Hexage
2016,2,Hexage
2013,0,777 Studios
2013,0,777 Studios
2010,1,Bohemia Interactive
2010,1,Bohemia Interactive
2010,1,Bohemia Interactive
2015,1,Section Studios
2015,1,Section Studios
2015,1,Section Studios
2015,1,Section Studios
2012,2,Valve
2017,1,"Studio Wildcard,Instinct Games,Efecto Studios,Virtual Basement LLC"
2017,1,"Studio Wildcard,Instinct Games,Efecto Studios,Virtual Basement LLC"
2017,1,"Studio Wildcard,Instinct Games,Efecto Studios,Virtual Basement LLC"
2017,1,"Studio Wildcard,Instinct Games,Efecto Studios,Virtual Basement LLC"
2017,1,"Studio Wildcard,Instinct Games,Efecto Studios,Virtual Basement LLC"
2015,1,"FromSoftware, Inc"
