sentiment_analysis,developer
0,Facepunch Studios
2,Valve
2,"Psyonix, Inc."
2,"Psyonix, Inc."
2,"Psyonix, Inc."
2,"Psyonix, Inc."
0,Ubisoft Montreal
0,Ubisoft Montreal
2,Valve
2,Valve
0,BlankMediaGames
0,BlankMediaGames
0,BlankMediaGames
2,Valve
2,Valve
2,Bethesda Game Studios
2,Valve
2,Treyarch
2,"Relic Entertainment,Feral Interactive (Mac),Feral Interactive (Linux)"
2,Telltale Games
2,Giants Software
2,Bohemia Interactive
2,Bohemia Interactive
2,Bohemia Interactive
0,Turtle Rock Studios
0,Turtle Rock Studios
0,Eyzi
0,Eyzi
0,Eyzi
2,"Firaxis Games,Aspyr (Mac, Linux)"
2,NetherRealm Studios
2,"Infinity Ward,Aspyr (Mac)"
2,Traveller's Tales
2,Traveller's Tales
0,TaleWorlds Entertainment
0,TaleWorlds Entertainment
2,Smartly Dressed Games
2,Smartly Dressed Games
2,Smartly Dressed Games
2,Smartly Dressed Games
2,Smartly Dressed Games
2,Capcom
2,Capcom
2,Edge of Reality
2,Edge of Reality
2,Edge of Reality
0,Freejam
0,Freejam
0,Freejam
0,Freejam
0,Freejam
0,Freejam
2,Creative Assembly
2,Robotronic Games
2,Robotronic Games
2,Robotronic Games
0,Smartly Dressed Games
0,Smartly Dressed Games
0,Smartly Dressed Games
0,Smartly Dressed Games
0,Smartly Dressed Games
2,Valve
2,Wild Shadow Studios
2,Wild Shadow Studios
2,Wild Shadow Studios
2,Wild Shadow Studios
2,Wild Shadow Studios
2,Facepunch Studios
2,Facepunch Studios
2,Facepunch Studios
2,Facepunch Studios
2,Facepunch Studios
2,Facepunch Studios
0,"KOEI TECMO GAMES CO., LTD."
2,sparsevector
2,sparsevector
2,sparsevector
0,Handyman Studios
0,Handyman Studios
0,Handyman Studios
0,Handyman Studios
2,Pandemic Studios
0,Eleon Game Studios
0,Eleon Game Studios
0,Eleon Game Studios
0,Eleon Game Studios
0,Eleon Game Studios
2,Grey Havens
2,Grey Havens
2,Grey Havens
2,Grey Havens
2,Grey Havens
2,Grey Havens
2,Valve
2,Valve
0,Lab Zero Games
0,Lab Zero Games
2,Valve
2,Prism Game Studios Ltd.
2,Prism Game Studios Ltd.
2,Prism Game Studios Ltd.
2,Capcom
2,Capcom
0,Hello Games
0,Hello Games
2,Digital Extremes
2,Digital Extremes
2,Wild Shadow Studios
2,Wild Shadow Studios
2,Wild Shadow Studios
2,Wild Shadow Studios
2,Wild Shadow Studios
2,"DONTNOD Entertainment,Feral Interactive (Mac),Feral Interactive (Linux)"
2,"DONTNOD Entertainment,Feral Interactive (Mac),Feral Interactive (Linux)"
2,OVERKILL - a Starbreeze Studio.
2,OVERKILL - a Starbreeze Studio.
0,Re-Logic
0,Re-Logic
0,Re-Logic
0,Re-Logic
2,"Irrational Games,Aspyr (Mac),Virtual Programming (Linux)"
2,Crows Crows Crows
2,Crows Crows Crows
0,"Gearbox Software,Aspyr (Mac &amp; Linux)"
0,"Gearbox Software,Aspyr (Mac &amp; Linux)"
0,Jagex Limited
0,Jagex Limited
2,Valve
2,No More Room in Hell Team
2,No More Room in Hell Team
2,No More Room in Hell Team
2,"Creative Assembly,Feral Interactive (Mac),Feral Interactive (Linux)"
0,Rockstar North
0,Rockstar North
2,Spiderling Studios
2,Spiderling Studios
2,Spiderling Studios
2,Defiant Development
2,Defiant Development
2,Defiant Development
2,Freebird Games
2,Freebird Games
2,Freebird Games
2,Trendy Entertainment
2,Trendy Entertainment
2,Trendy Entertainment
2,Trendy Entertainment
2,Trendy Entertainment
2,"Psyonix, Inc."
2,"Psyonix, Inc."
2,"Psyonix, Inc."
2,"Psyonix, Inc."
2,"Rocksteady Studios,Feral Interactive (Mac)"
2,"Rocksteady Studios,Feral Interactive (Mac)"
2,Playsaurus
2,Playsaurus
2,Playsaurus
2,Playsaurus
2,Playsaurus
2,Playsaurus
2,Playsaurus
2,Blue Mammoth Games
2,Blue Mammoth Games
2,Blue Mammoth Games
0,Valve
0,Machine Games
2,Rockstar North
2,Rockstar North
2,Valve
2,"Monochrome, Inc"
2,"Monochrome, Inc"
2,"Monochrome, Inc"
2,Facepunch Studios
2,Facepunch Studios
2,Facepunch Studios
2,Facepunch Studios
2,Facepunch Studios
2,Facepunch Studios
0,Digital Extremes
0,Digital Extremes
2,Creative Assembly
2,"Studio Wildcard,Instinct Games,Efecto Studios,Virtual Basement LLC"
2,"Studio Wildcard,Instinct Games,Efecto Studios,Virtual Basement LLC"
2,"Studio Wildcard,Instinct Games,Efecto Studios,Virtual Basement LLC"
2,"Studio Wildcard,Instinct Games,Efecto Studios,Virtual Basement LLC"
2,"Studio Wildcard,Instinct Games,Efecto Studios,Virtual Basement LLC"
2,Facepunch Studios
2,Facepunch Studios
2,Bohemia Interactive
2,Bohemia Interactive
2,Bohemia Interactive
2,Reto-Moto
2,Reto-Moto
2,Reto-Moto
2,Reto-Moto
2,"Firaxis Games,Aspyr (Mac, Linux)"
0,"Ubisoft Montreal, Massive Entertainment, and Ubisoft Shanghai"
0,"Ubisoft Montreal, Massive Entertainment, and Ubisoft Shanghai"
0,Hyper Hippo Games
0,Hyper Hippo Games
0,Hyper Hippo Games
0,Hyper Hippo Games
0,Hyper Hippo Games
0,Hyper Hippo Games
2,FIVE-BN GAMES
2,FIVE-BN GAMES
2,FIVE-BN GAMES
2,TaleWorlds Entertainment
2,TaleWorlds Entertainment
2,Valve
2,Valve
0,G2CREW
0,G2CREW
0,G2CREW
0,G2CREW
2,Hello Games
2,Hello Games
0,Bohemia Interactive
0,Bohemia Interactive
0,Bohemia Interactive
0,Bohemia Interactive
0,Valve
0,Valve
2,Nival
2,Nival
2,Nival
2,Nival
0,Facepunch Studios
0,Facepunch Studios
0,Facepunch Studios
0,Facepunch Studios
0,Facepunch Studios
0,Facepunch Studios
2,Silver Dollar Games
2,Silver Dollar Games
2,Silver Dollar Games
2,New World Interactive
2,New World Interactive
2,New World Interactive
2,"Studio Wildcard,Instinct Games,Efecto Studios,Virtual Basement LLC"
2,"Studio Wildcard,Instinct Games,Efecto Studios,Virtual Basement LLC"
2,"Studio Wildcard,Instinct Games,Efecto Studios,Virtual Basement LLC"
2,"Studio Wildcard,Instinct Games,Efecto Studios,Virtual Basement LLC"
2,"Studio Wildcard,Instinct Games,Efecto Studios,Virtual Basement LLC"
2,Ubisoft Montreal
2,Smartly Dressed Games
2,Smartly Dressed Games
2,Smartly Dressed Games
2,Smartly Dressed Games
2,Smartly Dressed Games
0,Ubisoft Montreal
2,Valve
2,Valve
2,Avalanche Studios
2,Avalanche Studios
2,"Epic Games, Inc."
0,Flying Helmet Games
0,Flying Helmet Games
0,Flying Helmet Games
0,Flying Helmet Games
2,Rockstar North
2,Rockstar North
0,Wild Shadow Studios
0,Wild Shadow Studios
0,Wild Shadow Studios
0,Wild Shadow Studios
0,Wild Shadow Studios
0,Invent4 Entertainment
0,Silver Wish Games
2,Giant Squid
2,Giant Squid
2,Giant Squid
2,Giant Squid
2,Giant Squid
0,Freejam
0,Freejam
0,Freejam
0,Freejam
0,Freejam
0,Freejam
2,Fistful of Frags Team
2,Fistful of Frags Team
2,Fistful of Frags Team
2,VStep
0,Valve
2,Valve
0,"Io-Interactive A/S,Feral Interactive (Mac)"
0,Atelier 801
0,Atelier 801
0,Atelier 801
2,Edge of Reality
2,Edge of Reality
2,Edge of Reality
0,Fistful of Frags Team
0,Fistful of Frags Team
0,Fistful of Frags Team
2,"Bluehole, Inc."
2,"Bluehole, Inc."
2,"Bluehole, Inc."
2,"Bluehole, Inc."
2,"Bluehole, Inc."
0,Ubisoft Montreal
0,Ubisoft Montreal
2,Valve
2,Valve
2,Freejam
2,Freejam
2,Freejam
2,Freejam
2,Freejam
2,Freejam
2,Valve
0,Valve
2,Valve
0,Nexon
0,Nexon
0,Nexon
0,Nexon
2,Digital Extremes
2,Digital Extremes
2,Turtle Rock Studios
2,Turtle Rock Studios
2,Chucklefish
2,Chucklefish
2,Chucklefish
2,Chucklefish
2,Chucklefish
2,Subset Games
2,Subset Games
2,Subset Games
0,"Avalanche Studios,Feral Interactive (Mac/Linux)"
0,"Avalanche Studios,Feral Interactive (Mac/Linux)"
2,Terry Cavanagh
2,Terry Cavanagh
2,Freejam
2,Freejam
2,Freejam
2,Freejam
2,Freejam
2,Freejam
2,Kyle Seeley
2,Kyle Seeley
2,Kyle Seeley
2,Kyle Seeley
2,Kyle Seeley
0,"DONTNOD Entertainment,Feral Interactive (Mac),Feral Interactive (Linux)"
0,"DONTNOD Entertainment,Feral Interactive (Mac),Feral Interactive (Linux)"
2,David Stark
2,David Stark
2,David Stark
2,David Stark
2,Valve
2,Valve
2,"Studio Wildcard,Instinct Games,Efecto Studios,Virtual Basement LLC"
2,"Studio Wildcard,Instinct Games,Efecto Studios,Virtual Basement LLC"
2,"Studio Wildcard,Instinct Games,Efecto Studios,Virtual Basement LLC"
2,"Studio Wildcard,Instinct Games,Efecto Studios,Virtual Basement LLC"
2,"Studio Wildcard,Instinct Games,Efecto Studios,Virtual Basement LLC"
0,Facepunch Studios
0,Facepunch Studios
2,Supergiant Games
2,Supergiant Games
2,Supergiant Games
2,Muse Games
2,Muse Games
2,Muse Games
2,Muse Games
2,Double Action Factory
2,Double Action Factory
2,Double Action Factory
0,Avalanche Studios
0,Avalanche Studios
2,Edge of Reality
2,Edge of Reality
2,Edge of Reality
2,"Firaxis Games,Aspyr (Mac, Linux)"
2,Re-Logic
2,Re-Logic
2,Re-Logic
2,Re-Logic
2,Telltale Games
2,"Lion Game Lion,OVERKILL - a Starbreeze Studio."
2,"Lion Game Lion,OVERKILL - a Starbreeze Studio."
2,Facepunch Studios
2,Facepunch Studios
2,Facepunch Studios
2,Facepunch Studios
2,Facepunch Studios
2,Facepunch Studios
2,Scott Cawthon
2,Scott Cawthon
2,Scott Cawthon
2,Coffee Stain Studios
2,Coffee Stain Studios
2,Coffee Stain Studios
2,Valve
2,YFYX GAMES
2,YFYX GAMES
2,YFYX GAMES
2,YFYX GAMES
2,Volition
2,Xaviant
2,Xaviant
2,Xaviant
2,Double Action Factory
2,Double Action Factory
2,Double Action Factory
2,Re-Logic
2,Re-Logic
2,Re-Logic
2,Re-Logic
2,Valve
2,Valve
2,Ronimo Games
2,Ronimo Games
2,Ronimo Games
2,Ronimo Games
2,Facepunch Studios
2,Facepunch Studios
2,Facepunch Studios
2,Facepunch Studios
2,Facepunch Studios
2,Facepunch Studios
0,Hello Games
0,Hello Games
2,Valve
2,Hyper Hippo Games
2,Hyper Hippo Games
2,Hyper Hippo Games
2,"Codemasters Racing,Feral Interactive (Mac)"
2,"Codemasters Racing,Feral Interactive (Mac)"
2,Pandemic Studios
0,CSR-Studios
0,CSR-Studios
0,CSR-Studios
2,Re-Logic
2,Re-Logic
2,Re-Logic
2,Re-Logic
2,Valve
2,Valve
2,Valve
2,Valve
2,No More Room in Hell Team
2,No More Room in Hell Team
2,No More Room in Hell Team
2,Traveller's Tales
2,Traveller's Tales
2,Facepunch Studios
2,Facepunch Studios
2,Treyarch
2,Valve
2,Codemasters
2,Codemasters
2,Valve
2,Valve
0,"Psyonix, Inc."
0,"Psyonix, Inc."
0,"Psyonix, Inc."
0,"Psyonix, Inc."
2,Almost Human Games
2,Almost Human Games
2,Almost Human Games
2,Freejam
2,Freejam
2,Freejam
2,Freejam
2,Freejam
2,Freejam
2,Klei Entertainment
2,Klei Entertainment
2,Klei Entertainment
0,Valve
2,Volition
2,Valve
2,Digital Extremes
2,Digital Extremes
2,Smartly Dressed Games
2,Smartly Dressed Games
2,Smartly Dressed Games
2,Smartly Dressed Games
2,Smartly Dressed Games
2,Valve
2,Sixteen Tons Entertainment
2,Sixteen Tons Entertainment
2,"Gearbox Software,Aspyr (Mac &amp; Linux)"
2,"Gearbox Software,Aspyr (Mac &amp; Linux)"
2,Edge of Reality
2,Edge of Reality
2,Edge of Reality
2,No More Room in Hell Team
2,No More Room in Hell Team
2,No More Room in Hell Team
2,Team Reptile
2,Team Reptile
2,Team Reptile
2,Valve
2,Treyarch
0,Funcom
2,Re-Logic
2,Re-Logic
2,Re-Logic
2,Re-Logic
0,Endnight Games Ltd
0,Endnight Games Ltd
0,Endnight Games Ltd
0,Endnight Games Ltd
0,Endnight Games Ltd
2,Facepunch Studios
2,Facepunch Studios
2,Facepunch Studios
2,Facepunch Studios
2,Facepunch Studios
2,Facepunch Studios
2,Facepunch Studios
2,Facepunch Studios
2,Valve
2,"Games by Robert, LLC"
2,"Games by Robert, LLC"
2,"Games by Robert, LLC"
2,Valve
2,Facepunch Studios
2,Facepunch Studios
2,Facepunch Studios
2,Facepunch Studios
2,Facepunch Studios
2,Facepunch Studios
0,BioWare
2,Soviet Games
2,Soviet Games
2,Soviet Games
2,Soviet Games
0,Valve
2,Tim Sullivan
2,Subset Games
2,Subset Games
2,Subset Games
2,Valve
2,Valve
2,Desert Owl Games LLC
2,Desert Owl Games LLC
2,Desert Owl Games LLC
2,Valve
2,Valve
2,Facepunch Studios
2,Facepunch Studios
2,Chucklefish
2,Chucklefish
2,Chucklefish
2,Chucklefish
2,Chucklefish
2,Valve
2,tobyfox
2,tobyfox
2,Lionheart Creations
2,"Irrational Games,Aspyr (Mac),Virtual Programming (Linux)"
2,Edge of Reality
2,Edge of Reality
2,Edge of Reality
2,Ubisoft Montréal
2,Treyarch
2,"Studio Wildcard,Instinct Games,Efecto Studios,Virtual Basement LLC"
2,"Studio Wildcard,Instinct Games,Efecto Studios,Virtual Basement LLC"
2,"Studio Wildcard,Instinct Games,Efecto Studios,Virtual Basement LLC"
2,"Studio Wildcard,Instinct Games,Efecto Studios,Virtual Basement LLC"
2,"Studio Wildcard,Instinct Games,Efecto Studios,Virtual Basement LLC"
2,Daybreak Game Company
2,Daybreak Game Company
2,Daybreak Game Company
0,Tripwire Interactive
2,Valve
2,Valve
0,Daybreak Game Company
0,Daybreak Game Company
0,Daybreak Game Company
2,Valve
2,Nexon
2,Nexon
2,Nexon
2,Nexon
0,Valve
0,Valve
2,"The Creative Assembly,Feral Interactive (Mac),Feral Interactive (Linux)"
0,2K Marin
2,Bethesda Game Studios
2,"Studio Wildcard,Instinct Games,Efecto Studios,Virtual Basement LLC"
2,"Studio Wildcard,Instinct Games,Efecto Studios,Virtual Basement LLC"
2,"Studio Wildcard,Instinct Games,Efecto Studios,Virtual Basement LLC"
2,"Studio Wildcard,Instinct Games,Efecto Studios,Virtual Basement LLC"
2,"Studio Wildcard,Instinct Games,Efecto Studios,Virtual Basement LLC"
2,Facepunch Studios
2,Facepunch Studios
2,Facepunch Studios
2,Facepunch Studios
2,Facepunch Studios
2,Facepunch Studios
2,Torn Banner Studios
2,Torn Banner Studios
0,Red Hook Studios
0,Red Hook Studios
0,Red Hook Studios
2,"FromSoftware, Inc"
2,"FromSoftware, Inc"
2,Creative Assembly
0,Valve
2,"Infinity Ward,Aspyr (Mac)"
2,Bohemia Interactive
2,Bohemia Interactive
2,Bohemia Interactive
2,Bohemia Interactive
2,Facepunch Studios
2,Facepunch Studios
2,Valve
2,Ubisoft
2,Ubisoft
0,Valve
2,Turtle Rock Studios
2,Turtle Rock Studios
2,GalaxyTrail
2,GalaxyTrail
0,Bohemia Interactive
0,Bohemia Interactive
0,Bohemia Interactive
0,Bohemia Interactive
2,Sumo Digital
2,Sumo Digital
2,Arrowhead Game Studios
2,Arrowhead Game Studios
2,Bohemia Interactive
2,Bohemia Interactive
2,Bohemia Interactive
2,Bohemia Interactive
2,TaleWorlds Entertainment
2,TaleWorlds Entertainment
2,N3V Games
2,Valve
2,Valve
2,Valve
0,Daybreak Game Company
0,Daybreak Game Company
0,Daybreak Game Company
0,Valve
0,Valve
2,Lionhead Studios
2,Lionhead Studios
2,Lionhead Studios
2,Valve
2,StarWraith 3D Games LLC
2,StarWraith 3D Games LLC
2,StarWraith 3D Games LLC
2,Digital Extremes
2,Digital Extremes
2,Mouldy Toof Studios
2,Mouldy Toof Studios
2,Mouldy Toof Studios
2,Mouldy Toof Studios
2,Mouldy Toof Studios
2,Valve
2,Valve
2,Yacht Club Games
2,Yacht Club Games
2,Yacht Club Games
2,Prism Game Studios Ltd.
2,Prism Game Studios Ltd.
2,Prism Game Studios Ltd.
0,Capcom Vancouver
0,Capcom Vancouver
0,Arkane Studios
0,Arkane Studios
2,Treyarch
0,Valve
2,Facepunch Studios
2,Facepunch Studios
2,SFB Games
2,SFB Games
0,Egosoft
0,Egosoft
2,Cellar Door Games
2,Cellar Door Games
2,Cellar Door Games
2,Frictional Games
2,Frictional Games
2,Frictional Games
2,"Studio Wildcard,Instinct Games,Efecto Studios,Virtual Basement LLC"
2,"Studio Wildcard,Instinct Games,Efecto Studios,Virtual Basement LLC"
2,"Studio Wildcard,Instinct Games,Efecto Studios,Virtual Basement LLC"
2,"Studio Wildcard,Instinct Games,Efecto Studios,Virtual Basement LLC"
2,"Studio Wildcard,Instinct Games,Efecto Studios,Virtual Basement LLC"
2,"FromSoftware, Inc"
